local_geographic_area,cases,active,recovered,death_s
Crowsnest Pass,0,0,0,0
Pincher Creek,0,0,0,0
Fort Macleod,2,2,0,0
Cardston-Kainai,5,5,0,0
County Of Lethbridge,1,0,1,0
Taber Md,2,0,2,0
County Of Warner,0,0,0,0
County Of Forty Mile,2,0,2,0
Newell,1017,712,299,6
Oyen,0,0,0,0
Cypress County,9,2,7,0
Medicine Hat,33,11,22,0
Lethbridge - West,7,0,7,0
Lethbridge - North,2,2,0,0
Lethbridge - South,9,4,5,0
Calgary - Upper Nw,121,32,88,1
Calgary - North,126,53,72,1
Calgary - Nosehill,97,37,57,3
Calgary - Lower Nw,67,18,48,1
Calgary - West Bow,20,7,10,3
Calgary - Centre North,87,40,37,10
Calgary - Upper Ne,461,265,191,5
Calgary - Lower Ne,386,204,181,1
Calgary - East,290,163,119,8
Calgary - Se,278,68,193,17
Calgary - West,84,19,64,1
Calgary - Centre,112,64,47,1
Calgary - Centre West,75,31,41,3
Calgary - Elbow,51,28,21,2
Calgary - Fish Creek,183,80,101,2
Calgary - Sw,642,215,419,8
Okotoks-Priddis,163,61,101,1
Black Diamond,29,20,9,0
High River,542,197,342,3
Claresholm,2,0,2,0
Vulcan,0,0,0,0
Airdrie,38,15,22,1
Chestermere,28,12,16,0
Strathmore,18,7,11,0
Crossfield,5,2,3,0
Didsbury,4,1,3,0
Cochrane-Springbank,18,4,14,0
Canmore,17,1,16,0
Banff,4,1,3,0
Rocky Mountain House,2,1,1,0
Drayton Valley,0,0,0,0
Sundre,1,0,1,0
Olds,2,0,2,0
Innisfail,1,0,1,0
Red Deer County,14,1,13,0
Sylvan Lake,1,1,0,0
Three Hills/Highway 21,2,0,2,0
Starland County/Drumheller,2,2,0,0
Planning & Special Area 2,1,1,0,0
Stettler & County,3,0,3,0
Castor/Coronation/Consort,0,0,0,0
Wetaskiwin County,8,1,7,0
Ponoka,2,0,2,0
Rimbey,0,0,0,0
Lacombe,2,0,2,0
Camrose & County,3,0,2,1
Tofield,2,0,2,0
Viking,0,0,0,0
Flagstaff County,0,0,0,0
Md Of Provost,0,0,0,0
Md Of Wainwright,1,0,1,0
Lamont County,0,0,0,0
Two Hills County,0,0,0,0
Vegreville/Minburn County,2,0,2,0
Vermilion River County,4,1,3,0
Red Deer - North,9,2,7,0
Red Deer - Sw,5,1,4,0
Red Deer - East,22,2,20,0
Edmonton - Woodcroft East,22,8,14,0
Edmonton - Woodcroft West,15,4,11,0
Edmonton - Jasper Place,5,0,5,0
Edmonton - West Jasper Place,37,6,29,2
Edmonton - Castle Downs,40,7,32,1
Edmonton - Northgate,49,16,29,4
Edmonton - Eastwood,19,7,9,3
Edmonton - Abbottsfield,6,0,6,0
Edmonton - Ne,30,6,24,0
Edmonton - Bonnie Doon,33,6,27,0
Edmonton - Mill Woods West,11,4,7,0
Edmonton - Mill Woods South & East,17,1,15,1
Edmonton - Duggan,19,4,15,0
Edmonton - Twin Brooks,26,2,24,0
Edmonton - Rutherford,28,7,21,0
Sturgeon County West,12,1,11,0
Sturgeon County East,0,0,0,0
Fort Saskatchewan,8,1,7,0
Sherwood Park,22,0,22,0
Strathcona County Excluding Sherwood Park,10,1,9,0
Beaumont,5,1,4,0
Leduc & Devon,31,4,26,1
Thorsby,3,0,3,0
Stony Plain & Spruce Grove,9,1,8,0
Westview Excluding Stony Plain & Spruce Grove,12,0,12,0
St. Albert,30,4,26,0
Jasper,9,1,7,1
Hinton,3,0,3,0
Edson,2,1,1,0
Whitecourt,1,1,0,0
Mayerthorpe,4,1,3,0
Barrhead,2,0,2,0
Westlock,2,0,2,0
Frog Lake,0,0,0,0
St. Paul,3,2,1,0
Smoky Lake,0,0,0,0
Cold Lake,4,1,3,0
Bonnyville,7,0,7,0
Boyle,0,0,0,0
Athabasca,2,1,1,0
Lac La Biche,0,0,0,0
Grande Cache,0,0,0,0
Fox Creek,0,0,0,0
Valleyview,2,1,1,0
Beaverlodge,0,0,0,0
Grande Prairie County,5,1,4,0
Swan Hills,0,0,0,0
Slave Lake,5,0,5,0
Wabasca,1,1,0,0
High Prairie,37,13,21,3
High Level,25,7,18,0
Manning,0,0,0,0
Peace River,11,0,11,0
Falher,67,21,36,10
Spirit River,0,0,0,0
Fairview,1,0,0,1
Wood Buffalo,2,0,2,0
Fort Mcmurray,22,10,12,0
City Of Grande Prairie,4,2,2,0
NA,47,17,30,0
